date,home_team,away_team,p_home_win,p_draw,p_away_win
2026-06-27,Algeria,Austria,0,1,0
2026-06-27,Jordan,Argentina,0,0,1
2026-06-27,Colombia,Portugal,0,1,0
2026-06-27,DR Congo,Uzbekistan,1,0,0
2026-06-27,Panama,England,0,0,1
2026-06-27,Croatia,Ghana,1,0,0
2026-06-28,South Africa,Canada,0,0,1
2026-06-29,Brazil,Japan,1,0,0
2026-06-29,Germany,Paraguay,0,1,0
2026-06-29,Netherlands,Morocco,0,1,0
2026-06-30,Ivory Coast,Norway,0,0,1
2026-06-30,France,Sweden,1,0,0
2026-06-30,Mexico,Ecuador,1,0,0
2026-07-01,England,DR Congo,1,0,0
2026-07-01,Belgium,Senegal,0,1,0
2026-07-01,United States,Bosnia and Herzegovina,1,0,0
2026-07-02,Spain,Austria,1,0,0
2026-07-02,Portugal,Croatia,1,0,0
2026-07-02,Switzerland,Algeria,1,0,0
2026-07-03,Australia,Egypt,0,1,0
2026-07-03,Argentina,Cape Verde,0,1,0
2026-07-03,Colombia,Ghana,1,0,0
2026-07-04,Canada,Morocco,0,0,1
2026-07-04,Paraguay,France,0,0,1
2026-07-05,Brazil,Norway,0,0,1
2026-07-05,Mexico,England,0,0,1
2026-07-06,Portugal,Spain,0,0,1
2026-07-06,United States,Belgium,0,0,1
2026-07-07,Argentina,Egypt,1,0,0
2026-07-07,Switzerland,Colombia,0,1,0
2026-07-09,France,Morocco,1,0,0
2026-07-10,Spain,Belgium,1,0,0
2026-07-11,Norway,England,0,1,0
2026-07-11,Argentina,Switzerland,0,1,0
2026-07-14,France,Spain,0,0,1
2026-07-15,England,Argentina,0,0,1
